alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00001,S0001,T001,attendance,57.4,56.9,Medium,High,2026-08-30,ACTION_TAKEN,INT00001,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-01,,,,
ALT00002,S0003,T001,attendance,60.9,63.7,Medium,Medium,2026-08-28,ACKNOWLEDGED,INT00002,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-30,,,,
ALT00003,S0033,T001,attendance,59.9,58.9,Medium,High,2026-08-28,FOLLOW_UP,INT00003,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-30,2026-09-05,,,
ALT00004,S0035,T001,gpa,64.6,67.8,Medium,Medium,2026-08-30,ACTION_TAKEN,INT00004,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-01,,,,
ALT00005,S0036,T002,attendance,62.0,60.5,Medium,High,2026-08-28,ACKNOWLEDGED,INT00005,mentor_check_in,Review attendance barrier and create a recovery plan,,2026-08-30,,,,
ALT00006,S0036,T002,gpa,53.7,61.9,Medium,Medium,2026-08-29,RESOLVED,INT00006,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-08-31,2026-09-06,improved,Risk reduced after intervention.,37.2
ALT00007,S0042,T003,backlog,54.0,51.4,Medium,Medium,2026-08-25,FOLLOW_UP,INT00007,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-08-27,2026-09-02,,,
ALT00008,S0062,T007,gpa,54.7,60.2,Medium,Medium,2026-08-23,ACTION_TAKEN,INT00008,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-08-25,,,,
ALT00009,S0064,T007,backlog,100.0,74.6,Medium,Medium,2026-09-01,RESOLVED,INT00009,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-09-03,2026-09-09,no_change,Risk reduced after intervention.,73.0
ALT00010,S0065,T007,attendance,57.0,58.8,Medium,Medium,2026-08-27,ACTION_TAKEN,INT00010,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,,,,
ALT00011,S0071,T009,backlog,61.0,55.7,Medium,Medium,2026-08-27,NEW,,,Connect the student to remedial support,,,,,,
ALT00012,S0083,T011,backlog,54.0,53.8,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00012,mentor_check_in,Connect the student to remedial support,Mentor follow-up completed,2026-09-03,,,,
ALT00013,S0092,T007,backlog,62.2,53.8,Medium,Medium,2026-08-24,ACKNOWLEDGED,INT00013,mentor_check_in,Connect the student to remedial support,,2026-08-26,,,,
ALT00014,S0093,T007,backlog,62.2,58.7,Medium,Medium,2026-08-23,NEW,,,Connect the student to remedial support,,,,,,
ALT00015,S0096,T008,attendance,65.9,66.7,Medium,High,2026-08-29,NEW,,,Review attendance barrier and create a recovery plan,,,,,,
ALT00016,S0096,T008,support_attention,57.0,55.9,Medium,Medium,2026-08-25,FOLLOW_UP,INT00016,mentor_check_in,Initiate a supportive mentor check-in,Mentor follow-up completed,2026-08-27,2026-09-02,,,
ALT00017,S0097,T008,attendance,61.9,63.2,Medium,High,2026-09-01,FOLLOW_UP,INT00017,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-03,2026-09-09,,,
ALT00018,S0099,T008,attendance,60.5,63.7,Medium,High,2026-08-27,FOLLOW_UP,INT00018,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-29,2026-09-04,,,
ALT00019,S0124,T001,gpa,63.0,67.0,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00019,mentor_check_in,Review weak subjects and create an academic study plan,Mentor follow-up completed,2026-09-03,,,,
ALT00020,S0125,T001,attendance,57.0,62.4,Medium,Medium,2026-08-26,FOLLOW_UP,INT00020,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-08-28,2026-09-03,,,
ALT00021,S0128,T002,attendance,52.2,60.8,Medium,Medium,2026-09-01,RESOLVED,INT00021,mentor_check_in,Review attendance barrier and create a recovery plan,Mentor follow-up completed,2026-09-03,2026-09-09,improved,Risk reduced after intervention.,38.6
