assignment_id,student_id,teacher_id,academic_year,semester,assignment_type
ASG0001,S0001,T001,2026-27,7,mentor
ASG0002,S0002,T001,2026-27,7,mentor
ASG0003,S0003,T001,2026-27,7,mentor
ASG0004,S0004,T001,2026-27,7,mentor
ASG0005,S0005,T001,2026-27,7,mentor
ASG0006,S0006,T002,2026-27,7,mentor
ASG0007,S0007,T002,2026-27,7,mentor
ASG0008,S0008,T002,2026-27,7,mentor
ASG0009,S0009,T002,2026-27,7,mentor
ASG0010,S0010,T002,2026-27,7,mentor
ASG0011,S0011,T003,2026-27,7,mentor
ASG0012,S0012,T003,2026-27,7,mentor
ASG0013,S0013,T003,2026-27,7,mentor
ASG0014,S0014,T003,2026-27,7,mentor
ASG0015,S0015,T003,2026-27,7,mentor
ASG0016,S0016,T004,2026-27,7,mentor
ASG0017,S0017,T004,2026-27,7,mentor
ASG0018,S0018,T004,2026-27,7,mentor
ASG0019,S0019,T004,2026-27,7,mentor
ASG0020,S0020,T004,2026-27,7,mentor
ASG0021,S0021,T005,2026-27,7,mentor
ASG0022,S0022,T005,2026-27,7,mentor
ASG0023,S0023,T005,2026-27,7,mentor
ASG0024,S0024,T005,2026-27,7,mentor
ASG0025,S0025,T005,2026-27,7,mentor
ASG0026,S0026,T006,2026-27,7,mentor
ASG0027,S0027,T006,2026-27,7,mentor
ASG0028,S0028,T006,2026-27,7,mentor
ASG0029,S0029,T006,2026-27,7,mentor
ASG0030,S0030,T006,2026-27,7,mentor
ASG0031,S0031,T001,2026-27,7,mentor
ASG0032,S0032,T001,2026-27,7,mentor
ASG0033,S0033,T001,2026-27,7,mentor
ASG0034,S0034,T001,2026-27,7,mentor
ASG0035,S0035,T001,2026-27,7,mentor
ASG0036,S0036,T002,2026-27,7,mentor
ASG0037,S0037,T002,2026-27,7,mentor
ASG0038,S0038,T002,2026-27,7,mentor
ASG0039,S0039,T002,2026-27,7,mentor
ASG0040,S0040,T002,2026-27,7,mentor
ASG0041,S0041,T003,2026-27,7,mentor
ASG0042,S0042,T003,2026-27,7,mentor
ASG0043,S0043,T003,2026-27,7,mentor
ASG0044,S0044,T003,2026-27,7,mentor
ASG0045,S0045,T003,2026-27,7,mentor
ASG0046,S0046,T004,2026-27,7,mentor
ASG0047,S0047,T004,2026-27,7,mentor
ASG0048,S0048,T004,2026-27,7,mentor
ASG0049,S0049,T004,2026-27,7,mentor
ASG0050,S0050,T004,2026-27,7,mentor
ASG0051,S0051,T005,2026-27,7,mentor
ASG0052,S0052,T005,2026-27,7,mentor
ASG0053,S0053,T005,2026-27,7,mentor
ASG0054,S0054,T005,2026-27,7,mentor
ASG0055,S0055,T005,2026-27,7,mentor
ASG0056,S0056,T006,2026-27,7,mentor
ASG0057,S0057,T006,2026-27,7,mentor
ASG0058,S0058,T006,2026-27,7,mentor
ASG0059,S0059,T006,2026-27,7,mentor
ASG0060,S0060,T006,2026-27,7,mentor
ASG0061,S0061,T007,2026-27,7,mentor
ASG0062,S0062,T007,2026-27,7,mentor
ASG0063,S0063,T007,2026-27,7,mentor
ASG0064,S0064,T007,2026-27,7,mentor
ASG0065,S0065,T007,2026-27,7,mentor
ASG0066,S0066,T008,2026-27,7,mentor
ASG0067,S0067,T008,2026-27,7,mentor
ASG0068,S0068,T008,2026-27,7,mentor
ASG0069,S0069,T008,2026-27,7,mentor
ASG0070,S0070,T008,2026-27,7,mentor
ASG0071,S0071,T009,2026-27,7,mentor
ASG0072,S0072,T009,2026-27,7,mentor
ASG0073,S0073,T009,2026-27,7,mentor
ASG0074,S0074,T009,2026-27,7,mentor
ASG0075,S0075,T009,2026-27,7,mentor
ASG0076,S0076,T010,2026-27,7,mentor
ASG0077,S0077,T010,2026-27,7,mentor
ASG0078,S0078,T010,2026-27,7,mentor
ASG0079,S0079,T010,2026-27,7,mentor
ASG0080,S0080,T010,2026-27,7,mentor
ASG0081,S0081,T011,2026-27,7,mentor
ASG0082,S0082,T011,2026-27,7,mentor
ASG0083,S0083,T011,2026-27,7,mentor
ASG0084,S0084,T011,2026-27,7,mentor
ASG0085,S0085,T011,2026-27,7,mentor
ASG0086,S0086,T012,2026-27,7,mentor
ASG0087,S0087,T012,2026-27,7,mentor
ASG0088,S0088,T012,2026-27,7,mentor
ASG0089,S0089,T012,2026-27,7,mentor
ASG0090,S0090,T012,2026-27,7,mentor
ASG0091,S0091,T007,2026-27,7,mentor
ASG0092,S0092,T007,2026-27,7,mentor
ASG0093,S0093,T007,2026-27,7,mentor
ASG0094,S0094,T007,2026-27,7,mentor
ASG0095,S0095,T007,2026-27,7,mentor
ASG0096,S0096,T008,2026-27,7,mentor
ASG0097,S0097,T008,2026-27,7,mentor
ASG0098,S0098,T008,2026-27,7,mentor
ASG0099,S0099,T008,2026-27,7,mentor
ASG0100,S0100,T008,2026-27,7,mentor
ASG0101,S0101,T009,2026-27,7,mentor
ASG0102,S0102,T009,2026-27,7,mentor
ASG0103,S0103,T009,2026-27,7,mentor
ASG0104,S0104,T009,2026-27,7,mentor
ASG0105,S0105,T009,2026-27,7,mentor
ASG0106,S0106,T010,2026-27,7,mentor
ASG0107,S0107,T010,2026-27,7,mentor
ASG0108,S0108,T010,2026-27,7,mentor
ASG0109,S0109,T010,2026-27,7,mentor
ASG0110,S0110,T010,2026-27,7,mentor
ASG0111,S0111,T011,2026-27,7,mentor
ASG0112,S0112,T011,2026-27,7,mentor
ASG0113,S0113,T011,2026-27,7,mentor
ASG0114,S0114,T011,2026-27,7,mentor
ASG0115,S0115,T011,2026-27,7,mentor
ASG0116,S0116,T012,2026-27,7,mentor
ASG0117,S0117,T012,2026-27,7,mentor
ASG0118,S0118,T012,2026-27,7,mentor
ASG0119,S0119,T012,2026-27,7,mentor
ASG0120,S0120,T012,2026-27,7,mentor
ASG0121,S0121,T001,2026-27,5,mentor
ASG0122,S0122,T001,2026-27,5,mentor
