student_id,roll_number,cohort,academic_year,semester,checkpoint_week,snapshot_type,course_id,course_name,course_credits,internal_marks,midterm_marks,quiz_average,assignment_average,practical_marks,course_attendance_percentage,course_attendance_trend,previous_course_attempts,previous_course_grade,assessment_trend,assignment_completion_rate,course_failed
S0001,23100001,2023,2021-22,1,6,historical,CSE101,Programming Fundamentals,4,67.9,62.1,65.8,59.7,61.0,66.6,stable,0,,declining,0.54,False
S0001,23100001,2023,2021-22,1,6,historical,CSE102,Engineering Mathematics I,4,56.8,58.2,56.6,64.1,69.6,60.6,declining,0,,declining,0.54,False
S0001,23100001,2023,2021-22,1,6,historical,CSE103,Engineering Physics,3,59.4,76.3,56.0,63.6,65.7,58.1,declining,0,,declining,0.54,False
S0001,23100001,2023,2021-22,1,6,historical,CSE104,Engineering Drawing,3,61.5,58.6,67.4,55.6,63.2,67.1,improving,0,,declining,0.54,False
S0001,23100001,2023,2021-22,1,6,historical,CSE105,Communication Skills,3,52.8,49.4,68.0,53.7,70.2,61.1,declining,0,,declining,0.54,True
S0001,23100001,2023,2022-23,2,6,historical,CSE201,Data Structures,4,51.8,57.2,62.2,68.2,72.9,58.8,declining,0,,declining,0.5,False
S0001,23100001,2023,2022-23,2,6,historical,CSE202,Engineering Mathematics II,4,53.1,54.6,51.1,67.4,73.9,58.5,declining,1,F,declining,0.5,True
S0001,23100001,2023,2022-23,2,6,historical,CSE203,Digital Logic Design,3,62.0,64.0,51.7,60.0,67.5,64.9,improving,0,,declining,0.5,False
S0001,23100001,2023,2022-23,2,6,historical,CSE204,Object Oriented Programming,3,48.7,53.7,57.4,73.7,67.4,58.8,declining,0,,declining,0.5,False
S0001,23100001,2023,2022-23,2,6,historical,CSE205,Environmental Science,3,62.9,68.0,63.8,64.7,72.1,58.1,declining,0,,declining,0.5,False
S0001,23100001,2023,2023-24,3,6,historical,CSE301,Database Systems,4,65.1,50.5,80.2,65.2,54.7,68.0,improving,0,,stable,0.56,False
S0001,23100001,2023,2023-24,3,6,historical,CSE302,Computer Organization,4,68.7,68.0,65.1,73.3,61.8,72.7,improving,0,,stable,0.56,False
S0001,23100001,2023,2023-24,3,6,historical,CSE303,Discrete Mathematics,3,58.4,58.6,66.6,76.5,56.2,61.3,declining,0,,stable,0.56,False
S0001,23100001,2023,2023-24,3,6,historical,CSE304,Operating Systems Fundamentals,3,59.2,48.7,41.9,62.7,62.2,71.9,improving,0,,stable,0.56,False
S0001,23100001,2023,2023-24,3,6,historical,CSE305,Web Technologies,3,64.9,69.4,70.9,65.2,57.5,73.7,improving,0,,stable,0.56,False
S0001,23100001,2023,2024-25,4,6,historical,CSE401,Design and Analysis of Algorithms,4,55.2,49.9,44.5,54.4,63.4,61.7,declining,0,,stable,0.47,False
S0001,23100001,2023,2024-25,4,6,historical,CSE402,Computer Networks,4,75.8,89.4,76.7,67.3,73.5,66.5,improving,0,,stable,0.47,False
S0001,23100001,2023,2024-25,4,6,historical,CSE403,Theory of Computation,3,50.9,46.9,60.4,71.0,80.3,62.7,declining,0,,stable,0.47,True
S0001,23100001,2023,2024-25,4,6,historical,CSE404,Software Engineering,3,73.8,74.5,71.9,72.5,76.0,65.1,stable,0,,stable,0.47,False
S0001,23100001,2023,2024-25,4,6,historical,CSE405,Probability and Statistics,3,62.0,62.7,57.6,65.6,77.5,65.1,stable,0,,stable,0.47,False
S0001,23100001,2023,2025-26,5,6,historical,CSE501,Operating Systems,4,50.0,57.6,49.4,53.7,67.7,56.2,stable,0,,declining,0.55,False
S0001,23100001,2023,2025-26,5,6,historical,CSE502,Database Management Systems,4,58.3,51.4,64.1,48.6,48.1,59.0,improving,0,,declining,0.55,False
S0001,23100001,2023,2025-26,5,6,historical,CSE503,Design and Analysis of Algorithms,3,52.5,57.3,47.9,54.2,67.0,57.8,improving,0,,declining,0.55,False
S0001,23100001,2023,2025-26,5,6,historical,CSE504,Computer Networks,3,61.4,59.8,62.6,45.8,78.5,53.6,declining,0,,declining,0.55,False
S0001,23100001,2023,2025-26,5,6,historical,CSE505,Software Engineering,3,48.0,54.8,54.1,55.9,57.4,53.8,declining,0,,declining,0.55,True
S0001,23100001,2023,2026-27,6,6,historical,CSE601,Artificial Intelligence,4,68.7,69.5,72.1,66.9,75.4,62.8,improving,0,,stable,0.62,False
S0001,23100001,2023,2026-27,6,6,historical,CSE602,Machine Learning,4,58.3,64.9,56.7,61.0,79.3,62.5,improving,0,,stable,0.62,False
S0001,23100001,2023,2026-27,6,6,historical,CSE603,Cloud Computing,3,64.6,54.6,78.0,63.1,68.7,61.6,stable,0,,stable,0.62,False
S0001,23100001,2023,2026-27,6,6,historical,CSE604,Compiler Design,3,64.7,70.6,68.6,65.9,80.3,56.4,declining,0,,stable,0.62,False
S0001,23100001,2023,2026-27,6,6,historical,CSE605,Information Security,3,65.0,61.6,82.7,70.9,81.2,59.3,declining,0,,stable,0.62,False
S0001,23100001,2023,2026-27,7,6,current,CSE701,Distributed Systems,4,52.7,59.2,38.2,48.2,63.2,60.4,improving,0,,stable,0.58,
S0001,23100001,2023,2026-27,7,6,current,CSE702,Big Data Analytics,4,51.6,44.7,51.7,60.2,54.7,61.4,improving,0,,stable,0.58,
S0001,23100001,2023,2026-27,7,6,current,CSE703,Advanced Algorithms,3,60.9,65.0,62.5,56.9,54.8,57.2,declining,0,,stable,0.58,
S0001,23100001,2023,2026-27,7,6,current,CSE704,Project Work I,3,48.0,51.5,51.8,61.5,55.4,56.3,declining,0,,stable,0.58,
S0001,23100001,2023,2026-27,7,6,current,CSE705,Professional Elective,3,57.9,58.1,57.9,62.0,62.1,65.8,improving,0,,stable,0.58,
S0002,23100002,2023,2021-22,1,6,historical,CSE101,Programming Fundamentals,4,63.1,62.4,60.7,68.4,58.8,63.7,stable,0,,stable,0.48,False
S0002,23100002,2023,2021-22,1,6,historical,CSE102,Engineering Mathematics I,4,64.5,57.6,67.5,73.2,51.4,65.7,improving,0,,stable,0.48,False
S0002,23100002,2023,2021-22,1,6,historical,CSE103,Engineering Physics,3,61.1,64.1,61.1,73.2,53.5,65.2,improving,0,,stable,0.48,False
S0002,23100002,2023,2021-22,1,6,historical,CSE104,Engineering Drawing,3,58.6,57.7,58.6,63.7,55.9,64.8,improving,0,,stable,0.48,False
S0002,23100002,2023,2021-22,1,6,historical,CSE105,Communication Skills,3,53.8,57.8,43.5,58.9,48.9,65.1,improving,0,,stable,0.48,False
S0002,23100002,2023,2022-23,2,6,historical,CSE201,Data Structures,4,51.7,55.3,49.7,65.3,36.5,63.7,declining,0,,stable,0.36,False
S0002,23100002,2023,2022-23,2,6,historical,CSE202,Engineering Mathematics II,4,57.7,53.0,72.7,62.0,40.6,68.7,improving,0,,stable,0.36,False
S0002,23100002,2023,2022-23,2,6,historical,CSE203,Digital Logic Design,3,63.7,52.7,70.4,55.8,41.0,66.7,stable,0,,stable,0.36,False
S0002,23100002,2023,2022-23,2,6,historical,CSE204,Object Oriented Programming,3,56.6,51.8,52.4,66.3,49.1,68.3,improving,0,,stable,0.36,False
S0002,23100002,2023,2022-23,2,6,historical,CSE205,Environmental Science,3,64.3,61.7,62.1,71.7,52.6,65.3,declining,0,,stable,0.36,False
S0002,23100002,2023,2023-24,3,6,historical,CSE301,Database Systems,4,52.6,57.0,56.2,56.5,68.4,68.8,stable,0,,declining,0.3,False
S0002,23100002,2023,2023-24,3,6,historical,CSE302,Computer Organization,4,63.5,61.4,61.8,51.2,65.0,71.9,improving,0,,declining,0.3,False
S0002,23100002,2023,2023-24,3,6,historical,CSE303,Discrete Mathematics,3,46.8,54.2,38.8,58.3,69.2,71.6,improving,0,,declining,0.3,False
S0002,23100002,2023,2023-24,3,6,historical,CSE304,Operating Systems Fundamentals,3,66.0,59.4,54.1,51.1,58.6,65.2,declining,0,,declining,0.3,False
S0002,23100002,2023,2023-24,3,6,historical,CSE305,Web Technologies,3,53.3,50.1,66.4,61.2,68.6,69.8,stable,0,,declining,0.3,False
