student_id,roll_number,cohort,academic_year,semester,checkpoint_week,department,batch,section,snapshot_type,current_gpa,current_cgpa,previous_gpa,previous_cgpa,gpa_change,internal_marks_average,midterm_marks_average,quiz_average,assignment_average,practical_marks_average,assessment_trend,assignment_completion_rate,current_attendance_percentage,attendance_last_30_days,attendance_trend,consecutive_absence_days,total_absent_days,recent_absence_rate,projected_final_attendance,current_backlog_count,previous_backlog_count,total_historical_backlogs,new_backlogs_last_semester,repeated_backlog_subject_count,backlog_growth_rate,assessment_participation_rate,recent_engagement_score,engagement_trend,fee_status,fee_arrears_amount,payment_delay_days,installment_pending,prolonged_absence_flag,prolonged_absence_days,academic_decline_flag,repeated_backlog_flag,engagement_decline_flag
S0001,23100001,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.71,7.96,8.22,8.13,-0.51,60.7,66.5,55.5,57.1,66.4,declining,0.54,65.7,65.6,stable,2,21,0.34,65.6,0,0,2,0,0,0.0,0.49,0.56,declining,paid,0,0,False,False,0,True,False,False
S0001,23100001,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.58,7.92,8.49,8.53,-0.91,58.6,47.0,63.6,69.6,69.5,declining,0.5,61.9,59.3,declining,7,25,0.41,60.7,0,0,2,0,0,0.0,0.51,0.49,declining,paid,0,0,False,False,0,True,False,False
S0001,23100001,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.97,8.03,8.07,8.32,-0.1,59.3,54.0,66.9,70.5,55.3,stable,0.56,66.6,65.6,declining,3,21,0.34,66.7,0,0,2,0,0,0.0,0.51,0.55,declining,paid,0,0,False,False,0,False,False,False
S0001,23100001,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.95,8.0,8.1,8.25,-0.16,65.2,54.6,71.4,66.6,75.6,stable,0.47,64.4,58.7,declining,11,23,0.41,61.7,0,0,1,0,0,0.0,0.56,0.52,declining,paid,0,0,False,False,0,False,False,False
S0001,23100001,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,7.34,7.47,7.8,7.79,-0.46,54.5,63.6,50.4,55.5,65.7,declining,0.55,56.6,53.4,declining,5,25,0.47,55.1,0,0,1,1,0,0.0,0.55,0.55,declining,paid,0,0,False,True,5,True,False,False
S0001,23100001,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,7.72,7.55,7.62,7.28,0.1,65.0,64.5,59.2,64.8,75.7,stable,0.62,61.2,59.2,declining,7,22,0.41,59.5,0,0,0,0,0,0.0,0.57,0.57,declining,paid,0,0,False,False,0,False,False,False
S0001,23100001,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.28,7.57,7.51,7.42,-0.23,54.4,52.5,45.8,56.8,57.1,stable,0.58,59.1,57.1,declining,8,24,0.43,57.0,0,0,2,0,0,0.0,0.58,0.56,declining,paid,0,0,False,True,8,False,False,False
S0002,23100002,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.35,7.41,7.49,7.43,-0.14,64.3,60.5,55.4,68.4,55.7,stable,0.48,63.5,63.2,stable,3,18,0.37,62.2,0,0,0,0,0,0.0,0.45,0.43,declining,paid,0,0,False,False,0,False,False,True
S0002,23100002,2023,2022-23,2,6,DEPT_CSE,2023,A,historical,7.04,6.99,7.22,7.2,-0.18,62.8,64.0,61.8,67.7,47.7,stable,0.36,66.3,67.0,stable,1,20,0.33,65.9,0,0,2,0,0,0.0,0.36,0.36,declining,overdue,36980,21,True,False,0,False,False,True
S0002,23100002,2023,2023-24,3,6,DEPT_CSE,2023,A,historical,7.24,7.58,7.94,7.86,-0.7,54.7,52.6,49.2,56.5,67.7,declining,0.3,69.4,71.2,improving,1,16,0.29,67.2,0,0,2,0,0,0.0,0.44,0.34,declining,paid,0,0,False,False,0,True,False,True
S0002,23100002,2023,2024-25,4,6,DEPT_CSE,2023,A,historical,7.31,7.48,7.93,8.05,-0.62,64.9,70.6,62.1,66.7,71.4,declining,0.35,70.8,67.1,declining,1,14,0.33,69.4,0,0,0,0,0,0.0,0.37,0.34,declining,paid,0,0,False,False,0,True,False,True
S0002,23100002,2023,2025-26,5,6,DEPT_CSE,2023,A,historical,6.85,7.36,7.74,7.66,-0.89,44.8,54.5,49.8,51.6,52.6,declining,0.39,67.3,68.1,stable,1,19,0.32,67.3,0,0,1,0,0,0.0,0.43,0.37,declining,paid,0,0,False,False,0,True,False,True
S0002,23100002,2023,2026-27,6,6,DEPT_CSE,2023,A,historical,6.86,7.0,7.01,6.96,-0.14,54.6,51.4,51.9,65.1,55.9,stable,0.41,72.1,71.6,stable,1,19,0.28,69.9,0,0,1,0,0,0.0,0.38,0.39,declining,paid,0,0,False,False,0,False,False,True
S0002,23100002,2023,2026-27,7,6,DEPT_CSE,2023,A,current,7.16,7.26,7.17,7.31,-0.01,46.7,48.2,38.5,46.7,46.5,stable,0.43,65.7,61.9,declining,7,20,0.38,63.1,0,0,1,0,0,0.0,0.4,0.39,declining,paid,0,0,False,False,0,False,False,True
S0003,23100003,2023,2021-22,1,6,DEPT_CSE,2023,A,historical,7.74,8.23,8.42,8.44,-0.68,52.8,66.5,47.3,62.2,60.6,declining,0.56,63.4,61.6,declining,8,21,0.38,60.6,0,0,1,1,0,0.0,0.6,0.57,declining,paid,0,0,False,False,0,True,False,False
