alert_id,student_id,teacher_id,risk_type,risk_score,priority_score,confidence_level,intervenability_score,created_at,alert_status,intervention_id,intervention_type,suggested_action,action_taken,intervention_date,follow_up_date,outcome_status,outcome_notes,risk_score_after_intervention
ALT00001,S0451,T005,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00001,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00002,S0202,T003,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,NEW,INT00002,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00003,S0351,T004,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,NEW,INT00003,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00004,S0251,T003,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,NEW,INT00004,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00005,S0401,T005,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00005,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00006,S0002,T001,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,NEW,INT00006,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00007,S0254,T003,attendance_shortage,97.1,96.0,Medium,High,2026-09-01,NEW,INT00007,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00008,S0402,T005,attendance_shortage,98.0,96.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00008,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00009,S0052,T001,attendance_shortage,93.1,96.0,Medium,High,2026-09-01,ACKNOWLEDGED,INT00009,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00010,S0001,T001,attendance_shortage,93.8,96.0,Medium,High,2026-09-01,ACTION_TAKEN,INT00010,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00011,S0253,T003,attendance_shortage,86.8,94.6,Medium,High,2026-09-01,ACKNOWLEDGED,INT00011,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00012,S0453,T005,attendance_shortage,81.3,81.7,Medium,High,2026-09-01,ACTION_TAKEN,INT00012,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00013,S0356,T004,attendance_shortage,83.1,77.5,Medium,High,2026-09-01,ACKNOWLEDGED,INT00013,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00014,S0352,T004,attendance_shortage,82.6,77.3,Medium,High,2026-09-01,NEW,INT00014,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00015,S0257,T003,attendance_shortage,70.0,78.5,Medium,High,2026-09-01,ACTION_TAKEN,INT00015,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00016,S0051,T001,attendance_shortage,72.7,79.7,Medium,High,2026-09-01,ACKNOWLEDGED,INT00016,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00017,S0303,T004,attendance_shortage,68.6,82.1,Medium,High,2026-09-01,NEW,INT00017,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00018,S0053,T001,attendance_shortage,71.0,73.7,Medium,High,2026-09-01,ACTION_TAKEN,INT00018,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,,,,
ALT00019,S0101,T002,attendance_shortage,66.3,69.8,Medium,High,2026-09-01,NEW,INT00019,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00020,S0104,T002,backlog,66.6,72.5,Medium,Medium,2026-09-01,ACTION_TAKEN,INT00020,mentor_check_in,Arrange subject-focused backlog recovery support.,Mentor follow-up completed,2026-09-03,,,,
ALT00021,S0102,T002,attendance_shortage,69.7,71.1,Medium,High,2026-09-01,FOLLOW_UP,INT00021,mentor_check_in,Review attendance context and agree on a recovery plan.,Mentor follow-up completed,2026-09-03,2026-09-10,,,
ALT00022,S0456,T005,attendance_shortage,63.5,69.7,Medium,High,2026-09-01,NEW,INT00022,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00023,S0204,T003,attendance_shortage,57.1,71.1,Medium,High,2026-09-01,NEW,INT00023,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00024,S0452,T005,attendance_shortage,60.1,67.1,Medium,High,2026-09-01,NEW,INT00024,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00025,S0355,T004,gpa_threshold,67.1,71.4,Medium,Medium,2026-09-01,ACKNOWLEDGED,INT00025,mentor_check_in,Review academic progress and agree on a focused study plan.,,,,,,
ALT00026,S0152,T002,attendance_shortage,65.0,67.5,Medium,High,2026-09-01,NEW,INT00026,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00027,S0054,T001,attendance_shortage,63.7,63.9,Medium,High,2026-09-01,ACKNOWLEDGED,INT00027,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
ALT00028,S0302,T004,attendance_shortage,59.5,61.3,Medium,High,2026-09-01,NEW,INT00028,mentor_check_in,Review attendance context and agree on a recovery plan.,,,,,,
