assignment_id,student_id,teacher_id,academic_year,semester,assignment_type
ASG0001,S0001,T001,2026-27,5,mentor
ASG0002,S0002,T001,2026-27,5,mentor
ASG0003,S0003,T001,2026-27,5,mentor
ASG0004,S0004,T001,2026-27,5,mentor
ASG0005,S0005,T001,2026-27,5,mentor
ASG0006,S0006,T001,2026-27,5,mentor
ASG0007,S0007,T001,2026-27,5,mentor
ASG0008,S0008,T001,2026-27,5,mentor
ASG0009,S0009,T001,2026-27,5,mentor
ASG0010,S0010,T001,2026-27,5,mentor
ASG0011,S0011,T001,2026-27,5,mentor
ASG0012,S0012,T001,2026-27,5,mentor
ASG0013,S0013,T001,2026-27,5,mentor
ASG0014,S0014,T001,2026-27,5,mentor
ASG0015,S0015,T001,2026-27,5,mentor
ASG0016,S0016,T001,2026-27,5,mentor
ASG0017,S0017,T001,2026-27,5,mentor
ASG0018,S0018,T001,2026-27,5,mentor
ASG0019,S0019,T001,2026-27,5,mentor
ASG0020,S0020,T001,2026-27,5,mentor
ASG0021,S0021,T001,2026-27,5,mentor
ASG0022,S0022,T001,2026-27,5,mentor
ASG0023,S0023,T001,2026-27,5,mentor
ASG0024,S0024,T001,2026-27,5,mentor
ASG0025,S0025,T001,2026-27,5,mentor
ASG0026,S0026,T001,2026-27,5,mentor
ASG0027,S0027,T001,2026-27,5,mentor
ASG0028,S0028,T001,2026-27,5,mentor
ASG0029,S0029,T001,2026-27,5,mentor
ASG0030,S0030,T001,2026-27,5,mentor
ASG0031,S0031,T001,2026-27,5,mentor
ASG0032,S0032,T001,2026-27,5,mentor
ASG0033,S0033,T001,2026-27,5,mentor
ASG0034,S0034,T001,2026-27,5,mentor
ASG0035,S0035,T001,2026-27,5,mentor
ASG0036,S0036,T001,2026-27,5,mentor
ASG0037,S0037,T001,2026-27,5,mentor
ASG0038,S0038,T001,2026-27,5,mentor
ASG0039,S0039,T001,2026-27,5,mentor
ASG0040,S0040,T001,2026-27,5,mentor
ASG0041,S0041,T001,2026-27,5,mentor
ASG0042,S0042,T001,2026-27,5,mentor
ASG0043,S0043,T001,2026-27,5,mentor
ASG0044,S0044,T001,2026-27,5,mentor
ASG0045,S0045,T001,2026-27,5,mentor
ASG0046,S0046,T001,2026-27,5,mentor
ASG0047,S0047,T001,2026-27,5,mentor
ASG0048,S0048,T001,2026-27,5,mentor
ASG0049,S0049,T001,2026-27,5,mentor
ASG0050,S0050,T001,2026-27,5,mentor
ASG0051,S0051,T001,2026-27,5,mentor
ASG0052,S0052,T001,2026-27,5,mentor
ASG0053,S0053,T001,2026-27,5,mentor
ASG0054,S0054,T001,2026-27,5,mentor
ASG0055,S0055,T001,2026-27,5,mentor
ASG0056,S0056,T001,2026-27,5,mentor
ASG0057,S0057,T001,2026-27,5,mentor
ASG0058,S0058,T001,2026-27,5,mentor
ASG0059,S0059,T001,2026-27,5,mentor
ASG0060,S0060,T001,2026-27,5,mentor
ASG0061,S0061,T001,2026-27,5,mentor
ASG0062,S0062,T001,2026-27,5,mentor
ASG0063,S0063,T001,2026-27,5,mentor
ASG0064,S0064,T001,2026-27,5,mentor
ASG0065,S0065,T001,2026-27,5,mentor
ASG0066,S0066,T001,2026-27,5,mentor
ASG0067,S0067,T001,2026-27,5,mentor
ASG0068,S0068,T001,2026-27,5,mentor
ASG0069,S0069,T001,2026-27,5,mentor
ASG0070,S0070,T001,2026-27,5,mentor
ASG0071,S0071,T001,2026-27,5,mentor
ASG0072,S0072,T001,2026-27,5,mentor
ASG0073,S0073,T001,2026-27,5,mentor
ASG0074,S0074,T001,2026-27,5,mentor
ASG0075,S0075,T001,2026-27,5,mentor
ASG0076,S0076,T001,2026-27,5,mentor
ASG0077,S0077,T001,2026-27,5,mentor
ASG0078,S0078,T001,2026-27,5,mentor
ASG0079,S0079,T001,2026-27,5,mentor
ASG0080,S0080,T001,2026-27,5,mentor
ASG0081,S0081,T001,2026-27,5,mentor
ASG0082,S0082,T001,2026-27,5,mentor
ASG0083,S0083,T001,2026-27,5,mentor
ASG0084,S0084,T001,2026-27,5,mentor
ASG0085,S0085,T001,2026-27,5,mentor
ASG0086,S0086,T001,2026-27,5,mentor
ASG0087,S0087,T001,2026-27,5,mentor
ASG0088,S0088,T001,2026-27,5,mentor
ASG0089,S0089,T001,2026-27,5,mentor
ASG0090,S0090,T001,2026-27,5,mentor
ASG0091,S0091,T001,2026-27,5,mentor
ASG0092,S0092,T001,2026-27,5,mentor
ASG0093,S0093,T001,2026-27,5,mentor
ASG0094,S0094,T001,2026-27,5,mentor
ASG0095,S0095,T001,2026-27,5,mentor
ASG0096,S0096,T001,2026-27,5,mentor
ASG0097,S0097,T001,2026-27,5,mentor
ASG0098,S0098,T001,2026-27,5,mentor
ASG0099,S0099,T001,2026-27,5,mentor
ASG0100,S0100,T001,2026-27,5,mentor
ASG0101,S0101,T002,2026-27,5,mentor
ASG0102,S0102,T002,2026-27,5,mentor
ASG0103,S0103,T002,2026-27,5,mentor
ASG0104,S0104,T002,2026-27,5,mentor
ASG0105,S0105,T002,2026-27,5,mentor
ASG0106,S0106,T002,2026-27,5,mentor
ASG0107,S0107,T002,2026-27,5,mentor
ASG0108,S0108,T002,2026-27,5,mentor
ASG0109,S0109,T002,2026-27,5,mentor
ASG0110,S0110,T002,2026-27,5,mentor
ASG0111,S0111,T002,2026-27,5,mentor
ASG0112,S0112,T002,2026-27,5,mentor
ASG0113,S0113,T002,2026-27,5,mentor
ASG0114,S0114,T002,2026-27,5,mentor
ASG0115,S0115,T002,2026-27,5,mentor
ASG0116,S0116,T002,2026-27,5,mentor
ASG0117,S0117,T002,2026-27,5,mentor
ASG0118,S0118,T002,2026-27,5,mentor
ASG0119,S0119,T002,2026-27,5,mentor
ASG0120,S0120,T002,2026-27,5,mentor
ASG0121,S0121,T002,2026-27,5,mentor
ASG0122,S0122,T002,2026-27,5,mentor
ASG0123,S0123,T002,2026-27,5,mentor
ASG0124,S0124,T002,2026-27,5,mentor
ASG0125,S0125,T002,2026-27,5,mentor
ASG0126,S0126,T002,2026-27,5,mentor
ASG0127,S0127,T002,2026-27,5,mentor
ASG0128,S0128,T002,2026-27,5,mentor
ASG0129,S0129,T002,2026-27,5,mentor
ASG0130,S0130,T002,2026-27,5,mentor
ASG0131,S0131,T002,2026-27,5,mentor
ASG0132,S0132,T002,2026-27,5,mentor
ASG0133,S0133,T002,2026-27,5,mentor
