assignment_id,student_id,teacher_id,academic_year,semester,assignment_type
ASG0001,S0001,T001,2025-26,5,mentor
ASG0002,S0002,T002,2025-26,5,mentor
ASG0003,S0003,T003,2025-26,5,mentor
ASG0004,S0004,T001,2025-26,5,mentor
ASG0005,S0005,T002,2025-26,5,mentor
ASG0006,S0006,T003,2025-26,5,mentor
ASG0007,S0007,T001,2025-26,5,mentor
ASG0008,S0008,T002,2025-26,5,mentor
ASG0009,S0009,T003,2025-26,5,mentor
ASG0010,S0010,T001,2025-26,5,mentor
ASG0011,S0011,T002,2025-26,5,mentor
ASG0012,S0012,T003,2025-26,5,mentor
ASG0013,S0013,T001,2025-26,5,mentor
ASG0014,S0014,T002,2025-26,5,mentor
ASG0015,S0015,T003,2025-26,5,mentor
ASG0016,S0016,T001,2025-26,5,mentor
ASG0017,S0017,T002,2025-26,5,mentor
ASG0018,S0018,T003,2025-26,5,mentor
ASG0019,S0019,T001,2025-26,5,mentor
ASG0020,S0020,T002,2025-26,5,mentor
ASG0021,S0021,T003,2025-26,5,mentor
ASG0022,S0022,T001,2025-26,5,mentor
ASG0023,S0023,T002,2025-26,5,mentor
ASG0024,S0024,T003,2025-26,5,mentor
ASG0025,S0025,T001,2025-26,5,mentor
ASG0026,S0026,T002,2025-26,5,mentor
ASG0027,S0027,T003,2025-26,5,mentor
ASG0028,S0028,T001,2025-26,5,mentor
ASG0029,S0029,T002,2025-26,5,mentor
ASG0030,S0030,T003,2025-26,5,mentor
ASG0031,S0031,T005,2025-26,5,mentor
ASG0032,S0032,T006,2025-26,5,mentor
ASG0033,S0033,T007,2025-26,5,mentor
ASG0034,S0034,T005,2025-26,5,mentor
ASG0035,S0035,T006,2025-26,5,mentor
ASG0036,S0036,T007,2025-26,5,mentor
ASG0037,S0037,T005,2025-26,5,mentor
ASG0038,S0038,T006,2025-26,5,mentor
ASG0039,S0039,T007,2025-26,5,mentor
ASG0040,S0040,T005,2025-26,5,mentor
ASG0041,S0041,T006,2025-26,5,mentor
ASG0042,S0042,T007,2025-26,5,mentor
ASG0043,S0043,T005,2025-26,5,mentor
ASG0044,S0044,T006,2025-26,5,mentor
ASG0045,S0045,T007,2025-26,5,mentor
ASG0046,S0046,T005,2025-26,5,mentor
ASG0047,S0047,T006,2025-26,5,mentor
ASG0048,S0048,T007,2025-26,5,mentor
ASG0049,S0049,T005,2025-26,5,mentor
ASG0050,S0050,T006,2025-26,5,mentor
ASG0051,S0051,T007,2025-26,5,mentor
ASG0052,S0052,T005,2025-26,5,mentor
ASG0053,S0053,T006,2025-26,5,mentor
ASG0054,S0054,T007,2025-26,5,mentor
ASG0055,S0055,T005,2025-26,5,mentor
ASG0056,S0056,T006,2025-26,5,mentor
ASG0057,S0057,T007,2025-26,5,mentor
ASG0058,S0058,T005,2025-26,5,mentor
ASG0059,S0059,T006,2025-26,5,mentor
ASG0060,S0060,T007,2025-26,5,mentor
