student_id,cohort,academic_year,semester,course_failed,new_backlog,gpa_below_threshold,attendance_shortage,discontinued
S0001,2023,2024-25,4,False,False,False,True,False
S0001,2023,2023-24,3,True,False,False,True,False
S0002,2023,2024-25,4,False,True,False,True,False
S0002,2023,2023-24,3,False,False,True,True,False
S0003,2023,2024-25,4,False,True,True,False,False
S0003,2023,2023-24,3,True,True,True,False,False
S0004,2023,2024-25,4,False,False,False,True,False
S0004,2023,2023-24,3,False,True,False,True,False
S0005,2023,2024-25,4,False,True,False,False,False
S0005,2023,2023-24,3,False,False,False,True,False
S0006,2023,2024-25,4,False,False,False,False,False
S0006,2023,2023-24,3,False,False,False,True,False
S0007,2023,2024-25,4,False,False,False,False,False
S0007,2023,2023-24,3,False,False,False,False,False
S0008,2023,2024-25,4,False,False,False,True,False
S0008,2023,2023-24,3,False,False,False,False,False
S0009,2023,2024-25,4,True,False,True,False,False
S0009,2023,2023-24,3,False,False,False,True,False
S0010,2023,2024-25,4,True,False,False,False,False
S0010,2023,2023-24,3,False,False,True,False,False
S0011,2023,2024-25,4,False,False,False,False,False
S0011,2023,2023-24,3,False,False,False,False,False
S0012,2023,2024-25,4,False,False,False,False,False
S0012,2023,2023-24,3,False,False,False,False,False
S0013,2023,2024-25,4,False,False,False,False,False
S0013,2023,2023-24,3,False,False,False,False,False
S0014,2023,2024-25,4,False,False,False,False,False
S0014,2023,2023-24,3,False,False,False,False,False
S0015,2023,2024-25,4,False,False,False,False,False
S0015,2023,2023-24,3,False,False,False,False,False
S0016,2023,2024-25,4,False,False,False,False,False
S0016,2023,2023-24,3,False,False,False,False,False
S0017,2023,2024-25,4,False,False,False,False,False
S0017,2023,2023-24,3,False,False,False,False,False
S0018,2023,2024-25,4,False,False,True,False,False
S0018,2023,2023-24,3,False,False,False,False,False
S0019,2023,2024-25,4,False,False,False,False,False
S0019,2023,2023-24,3,False,False,False,True,False
S0020,2023,2024-25,4,False,False,False,False,False
S0020,2023,2023-24,3,False,False,False,False,False
S0021,2023,2024-25,4,False,False,False,False,False
S0021,2023,2023-24,3,False,False,True,False,False
S0022,2023,2024-25,4,False,False,False,False,False
S0022,2023,2023-24,3,False,False,True,False,False
S0023,2023,2024-25,4,False,False,True,False,False
S0023,2023,2023-24,3,False,False,False,False,False
S0024,2023,2024-25,4,False,False,False,True,False
S0024,2023,2023-24,3,False,False,False,False,False
S0025,2023,2024-25,4,False,False,False,False,False
S0025,2023,2023-24,3,False,True,False,False,False
S0026,2023,2024-25,4,False,False,False,False,False
S0026,2023,2023-24,3,False,False,False,False,False
S0027,2023,2024-25,4,False,False,False,True,False
S0027,2023,2023-24,3,False,False,False,False,False
S0028,2023,2024-25,4,False,False,False,False,False
S0028,2023,2023-24,3,False,False,False,False,False
S0029,2023,2024-25,4,False,False,False,False,False
S0029,2023,2023-24,3,False,False,False,False,False
S0030,2023,2024-25,4,False,False,False,True,False
S0030,2023,2023-24,3,False,False,False,False,False
S0031,2023,2024-25,4,False,True,False,True,False
S0031,2023,2023-24,3,True,True,True,True,False
S0032,2023,2024-25,4,False,True,True,False,False
S0032,2023,2023-24,3,True,True,False,False,False
S0033,2023,2024-25,4,False,True,False,True,False
S0033,2023,2023-24,3,False,False,False,True,False
S0034,2023,2024-25,4,True,False,False,True,False
S0034,2023,2023-24,3,False,False,False,True,False
S0035,2023,2024-25,4,True,False,False,False,False
S0035,2023,2023-24,3,False,False,False,False,False
S0036,2023,2024-25,4,False,False,False,False,False
S0036,2023,2023-24,3,False,False,False,True,False
S0037,2023,2024-25,4,False,False,False,False,False
S0037,2023,2023-24,3,False,False,False,False,False
S0038,2023,2024-25,4,False,False,False,False,False
S0038,2023,2023-24,3,False,False,False,False,False
S0039,2023,2024-25,4,False,False,False,True,False
S0039,2023,2023-24,3,False,False,False,False,False
S0040,2023,2024-25,4,False,False,True,False,False
S0040,2023,2023-24,3,False,False,False,False,False
S0041,2023,2024-25,4,False,False,False,False,False
S0041,2023,2023-24,3,False,False,False,False,False
S0042,2023,2024-25,4,True,False,False,False,False
S0042,2023,2023-24,3,False,False,False,False,False
S0043,2023,2024-25,4,False,False,False,False,False
S0043,2023,2023-24,3,False,False,False,False,False
S0044,2023,2024-25,4,False,False,False,False,False
S0044,2023,2023-24,3,True,False,True,False,False
S0045,2023,2024-25,4,False,False,False,False,False
S0045,2023,2023-24,3,False,False,False,True,False
S0046,2023,2024-25,4,False,False,False,False,False
S0046,2023,2023-24,3,False,False,False,False,False
S0047,2023,2024-25,4,False,True,False,False,False
S0047,2023,2023-24,3,False,False,False,False,False
S0048,2023,2024-25,4,False,False,False,False,False
S0048,2023,2023-24,3,False,False,False,False,False
S0049,2023,2024-25,4,False,False,False,True,False
S0049,2023,2023-24,3,False,False,False,False,False
S0050,2023,2024-25,4,False,False,False,False,False
S0050,2023,2023-24,3,False,False,False,False,False
S0051,2023,2024-25,4,False,False,False,False,False
S0051,2023,2023-24,3,False,False,False,False,False
S0052,2023,2024-25,4,False,False,False,False,False
S0052,2023,2023-24,3,False,False,False,False,False
S0053,2023,2024-25,4,False,False,False,False,False
S0053,2023,2023-24,3,False,False,False,False,False
S0054,2023,2024-25,4,False,False,False,False,False
S0054,2023,2023-24,3,False,False,False,False,False
S0055,2023,2024-25,4,False,False,False,False,False
S0055,2023,2023-24,3,False,False,False,False,False
S0056,2023,2024-25,4,False,False,False,False,False
S0056,2023,2023-24,3,False,False,False,False,False
S0057,2023,2024-25,4,True,False,False,False,False
S0057,2023,2023-24,3,False,False,False,False,False
S0058,2023,2024-25,4,False,False,False,False,False
S0058,2023,2023-24,3,False,False,True,False,False
S0059,2023,2024-25,4,False,False,False,False,False
S0059,2023,2023-24,3,False,False,False,False,False
S0060,2023,2024-25,4,False,False,False,False,False
S0060,2023,2023-24,3,False,False,False,False,False
