student_id,academic_year,semester,checkpoint_week,course_id,course_name,course_credits,internal_marks,midterm_marks,quiz_average,assignment_average,practical_marks,course_attendance_percentage,course_attendance_trend,previous_course_attempts,previous_course_grade,assessment_trend,assignment_completion_rate,course_failed
S0001,2025-26,5,10,CSE501,Operating Systems,4,49.3,50.6,52.8,45.3,44.3,55.5,declining,0,,declining,0.43,False
S0001,2025-26,5,10,CSE502,Database Management Systems,4,47.1,54.9,46.5,49.2,56.1,53.7,improving,0,,declining,0.43,False
S0001,2025-26,5,10,CSE503,Design and Analysis of Algorithms,3,47.4,51.0,41.7,43.9,45.5,58.1,improving,0,,declining,0.43,False
S0001,2025-26,5,10,CSE504,Computer Networks,3,58.1,54.5,55.3,53.9,58.5,56.2,stable,0,,declining,0.43,False
S0001,2025-26,5,10,CSE505,Software Engineering,3,58.5,67.1,50.5,55.1,55.2,60.4,improving,0,,declining,0.43,False
S0002,2025-26,5,10,CSE501,Operating Systems,4,44.3,50.7,44.8,54.3,40.0,56.5,stable,0,,declining,0.41,False
S0002,2025-26,5,10,CSE502,Database Management Systems,4,41.4,47.5,34.8,51.1,43.9,57.6,declining,0,,declining,0.41,False
S0002,2025-26,5,10,CSE503,Design and Analysis of Algorithms,3,38.6,40.3,31.2,38.4,36.5,52.9,declining,0,,declining,0.41,True
S0002,2025-26,5,10,CSE504,Computer Networks,3,37.9,36.1,36.5,42.4,46.8,62.9,stable,0,,declining,0.41,True
S0002,2025-26,5,10,CSE505,Software Engineering,3,39.4,40.8,38.6,44.3,42.7,55.5,stable,0,,declining,0.41,True
S0003,2025-26,5,10,CSE501,Operating Systems,4,38.1,31.4,42.6,38.9,36.3,59.8,declining,0,,improving,0.44,True
S0003,2025-26,5,10,CSE502,Database Management Systems,4,49.8,58.4,51.7,54.8,45.6,64.3,stable,0,,improving,0.44,False
S0003,2025-26,5,10,CSE503,Design and Analysis of Algorithms,3,45.9,36.0,36.7,51.1,49.3,53.3,declining,0,,improving,0.44,False
S0003,2025-26,5,10,CSE504,Computer Networks,3,44.5,43.8,34.6,51.3,44.5,63.5,stable,0,,improving,0.44,False
S0003,2025-26,5,10,CSE505,Software Engineering,3,40.9,34.1,46.4,43.3,43.9,64.6,declining,0,,improving,0.44,False
S0004,2025-26,5,10,CSE501,Operating Systems,4,56.5,58.4,64.1,57.1,53.0,63.7,stable,0,,improving,0.62,False
S0004,2025-26,5,10,CSE502,Database Management Systems,4,69.2,71.3,67.7,69.7,70.5,55.4,declining,0,,improving,0.62,False
S0004,2025-26,5,10,CSE503,Design and Analysis of Algorithms,3,58.1,54.2,65.6,53.5,60.9,59.6,stable,0,,improving,0.62,False
S0004,2025-26,5,10,CSE504,Computer Networks,3,64.2,61.7,66.6,59.8,66.1,60.3,improving,0,,improving,0.62,False
S0004,2025-26,5,10,CSE505,Software Engineering,3,56.5,53.4,48.4,65.7,57.6,63.7,declining,0,,improving,0.62,False
S0005,2025-26,5,10,CSE501,Operating Systems,4,61.1,68.5,63.8,62.5,62.6,56.5,stable,1,D,stable,0.61,False
S0005,2025-26,5,10,CSE502,Database Management Systems,4,66.0,56.8,70.1,65.5,74.5,56.6,declining,0,,stable,0.61,False
S0005,2025-26,5,10,CSE503,Design and Analysis of Algorithms,3,52.6,43.8,59.3,49.9,55.6,67.1,stable,0,,stable,0.61,False
