student_id,cohort,academic_year,semester,checkpoint_week,department,batch,section,_archetype,current_gpa,current_cgpa,previous_gpa,previous_cgpa,gpa_change,internal_marks_average,midterm_marks_average,quiz_average,assignment_average,practical_marks_average,assessment_trend,assignment_completion_rate,current_attendance_percentage,attendance_last_30_days,attendance_trend,consecutive_absence_days,total_absent_days,recent_absence_rate,projected_final_attendance,current_backlog_count,previous_backlog_count,total_historical_backlogs,new_backlogs_last_semester,repeated_backlog_subject_count,backlog_growth_rate,assessment_participation_rate,recent_engagement_score,engagement_trend,fee_status,fee_arrears_amount,payment_delay_days,installment_pending,prolonged_absence_flag,prolonged_absence_days,academic_decline_flag,repeated_backlog_flag,engagement_decline_flag
S0001,2023,2025-26,5,10,DEPT_CSE,2023,A,critical_multi_risk,5.96,5.99,5.64,6.07,0.32,52.3,44.9,51.3,54.7,61.2,declining,0.43,59.0,56.8,declining,6,19,0.43,56.2,2,1,3,1,1,0.5,0.44,0.37,declining,overdue,26889,27,True,True,6,True,True,True
S0002,2023,2025-26,5,10,DEPT_CSE,2023,A,critical_multi_risk,5.94,5.93,6.16,5.92,-0.22,40.2,33.3,43.9,50.1,49.7,declining,0.41,57.7,55.8,declining,9,30,0.44,57.1,2,2,5,0,1,0.0,0.42,0.44,declining,overdue,17805,36,True,True,9,True,True,True
S0003,2023,2025-26,5,10,DEPT_CSE,2023,A,critical_multi_risk,5.8,5.86,5.65,5.95,0.15,44.6,40.4,48.2,42.4,42.6,improving,0.44,59.0,59.6,stable,8,20,0.4,56.7,1,0,2,1,0,1.0,0.35,0.38,declining,overdue,26318,40,True,True,8,True,False,True
S0004,2023,2025-26,5,10,DEPT_CSE,2023,A,attendance_only,7.58,7.71,7.63,7.75,-0.05,61.5,62.7,57.6,57.1,63.1,improving,0.62,60.0,63.1,stable,5,31,0.37,58.6,0,0,1,0,0,0.0,0.69,0.64,stable,paid,0,0,False,True,5,False,False,False
S0005,2023,2025-26,5,10,DEPT_CSE,2023,A,attendance_only,8.29,8.38,8.22,8.28,0.07,58.7,50.5,63.1,62.9,56.1,stable,0.61,62.1,63.2,stable,6,18,0.37,60.6,0,0,1,0,0,0.0,0.68,0.68,improving,paid,0,0,False,True,6,False,False,False
S0006,2023,2025-26,5,10,DEPT_CSE,2023,A,attendance_only,7.54,7.78,7.87,7.71,-0.33,67.8,73.4,72.1,71.8,66.9,improving,0.82,50.1,48.0,declining,8,19,0.52,48.6,0,0,1,0,0,0.0,0.82,0.74,improving,paid,0,0,False,True,8,False,False,False
S0007,2023,2025-26,5,10,DEPT_CSE,2023,A,discontinuation_watch,8.21,8.29,8.31,8.33,-0.1,59.0,57.3,49.8,63.9,58.9,improving,0.23,86.6,86.2,declining,2,4,0.14,82.0,0,0,1,0,0,0.0,0.31,0.31,declining,overdue,19419,42,True,False,0,False,False,True
S0008,2023,2025-26,5,10,DEPT_CSE,2023,A,discontinuation_watch,7.04,6.99,7.27,6.99,-0.23,56.2,65.0,57.6,60.7,55.2,stable,0.32,89.5,87.2,declining,0,2,0.13,85.4,0,0,1,0,0,0.0,0.29,0.32,declining,overdue,29772,28,True,False,0,False,False,True
S0009,2023,2025-26,5,10,DEPT_CSE,2023,A,discontinuation_watch,7.17,7.33,7.3,7.41,-0.13,51.1,59.4,45.7,46.8,54.4,stable,0.36,86.1,88.6,improving,0,4,0.11,84.6,0,0,1,0,0,0.0,0.28,0.29,declining,overdue,28850,38,True,False,0,False,False,True
S0010,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,9.05,9.31,9.25,9.43,-0.2,72.7,69.0,78.1,80.9,73.3,improving,0.78,79.5,74.9,declining,2,2,0.25,78.3,0,0,0,0,0,0.0,0.8,0.73,stable,pending,1606,0,False,False,0,False,False,False
S0011,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,7.17,7.21,7.02,7.35,0.15,57.4,50.3,47.7,57.0,54.4,stable,0.78,79.8,78.4,declining,2,10,0.22,76.9,0,0,0,0,0,0.0,0.92,0.86,improving,paid,0,0,False,False,0,False,False,False
S0012,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,8.57,8.49,8.41,8.54,0.16,75.8,71.5,84.3,71.3,79.1,stable,0.8,78.8,72.6,declining,2,10,0.27,74.0,0,0,0,0,0,0.0,0.97,0.88,improving,paid,0,0,False,False,0,False,False,False
S0013,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,8.73,8.98,8.99,8.9,-0.26,70.3,72.4,77.7,77.4,71.5,stable,0.6,85.8,86.3,improving,2,5,0.14,84.6,0,0,0,0,0,0.0,0.67,0.61,stable,paid,0,0,False,False,0,False,False,False
S0014,2023,2025-26,5,10,DEPT_CSE,2023,A,normal,8.76,8.81,9.02,8.7,-0.26,76.8,70.1,72.5,74.9,73.5,improving,0.69,78.2,72.5,declining,2,2,0.28,75.2,0,0,1,0,0,0.0,0.78,0.78,improving,paid,0,0,False,False,0,False,False,False
